City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Caravelas,-17.71,-39.25,79.88,85,100,12.44,BR,2020-02-23 22:35:50
91,Nuqui,5.71,-77.27,66.2,82,75,5.82,CO,2020-02-23 22:39:39
92,Vaitape,-16.52,-151.75,83.05,72,46,12.17,PF,2020-02-23 22:39:39
93,Kolosovka,56.47,73.61,3.34,97,81,4.56,RU,2020-02-23 22:39:39
94,Hermanus,-34.42,19.23,66.99,72,0,11.01,ZA,2020-02-23 22:35:41
95,Cabo San Lucas,22.89,-109.91,78.8,47,20,11.41,MX,2020-02-23 22:35:50
96,Manzhouli,49.6,117.43,4.73,87,0,6.91,CN,2020-02-23 22:39:05
97,Bayir,37.27,28.22,41.0,86,0,6.93,TR,2020-02-23 22:39:40
98,Dikson,73.51,80.55,24.82,91,100,27.54,RU,2020-02-23 22:36:39
99,Teya,60.38,92.63,-0.13,94,1,4.16,RU,2020-02-23 22:36:47
100,Saint George,37.1,-113.58,57.2,50,1,8.05,US,2020-02-23 22:31:24
101,Talara,-4.58,-81.27,62.6,100,40,9.17,PE,2020-02-23 22:39:41
102,Geraldton,-28.77,114.6,71.6,94,40,2.24,AU,2020-02-23 22:35:56
103,Padang,-0.95,100.35,70.66,85,0,6.58,ID,2020-02-23 22:39:41
104,Belle Glade,26.68,-80.67,73.4,46,1,9.17,US,2020-02-23 22:39:42
105,Najran,17.49,44.13,69.8,35,51,4.7,SA,2020-02-23 22:36:14
106,Ndele,8.41,20.65,74.26,17,0,4.88,CF,2020-02-23 22:39:42
107,Nikolskoye,59.7,30.79,36.0,93,90,8.95,RU,2020-02-23 22:36:16
108,Lata,40.16,-8.33,59.0,81,0,2.24,PT,2020-02-23 22:37:04
109,Aklavik,68.22,-135.01,-4.0,76,90,6.93,CA,2020-02-23 22:33:27
110,Talnakh,69.49,88.4,15.8,92,75,31.32,RU,2020-02-23 22:31:32
111,Turukhansk,65.82,87.98,14.11,94,100,12.71,RU,2020-02-23 22:36:09
112,Mar Del Plata,-38.0,-57.56,75.2,57,0,10.29,AR,2020-02-23 22:35:11
113,Phek,25.67,94.5,45.21,94,0,1.36,IN,2020-02-23 22:39:44
114,Bengkulu,-3.8,102.27,74.61,86,2,4.76,ID,2020-02-23 22:36:38
115,Puerto Ayora,-0.74,-90.35,82.4,78,75,10.29,EC,2020-02-23 22:35:57
116,Sisimiut,66.94,-53.67,-2.52,81,100,2.64,GL,2020-02-23 22:39:44
117,Loudeac,48.18,-2.75,55.4,93,90,10.29,FR,2020-02-23 22:39:44
118,Itaituba,-4.28,-55.98,84.2,74,40,2.53,BR,2020-02-23 22:39:45
119,Salalah,17.02,54.09,75.2,73,75,4.7,OM,2020-02-23 22:37:35
120,Carutapera,-1.2,-46.02,82.02,82,75,14.58,BR,2020-02-23 22:37:41
121,Hirara,24.8,125.28,66.2,77,75,4.7,JP,2020-02-23 22:39:46
122,Cherskiy,68.75,161.3,-22.07,87,48,4.94,RU,2020-02-23 22:33:04
123,Kruisfontein,-34.0,24.73,54.19,83,0,3.49,ZA,2020-02-23 22:35:48
124,Port Keats,-14.25,129.55,87.35,67,36,13.76,AU,2020-02-23 22:39:47
125,Norman Wells,65.28,-126.83,6.8,71,75,8.05,CA,2020-02-23 22:36:47
126,Nome,64.5,-165.41,5.0,77,90,9.17,US,2020-02-23 22:36:01
127,Zhanaozen,43.3,52.8,43.12,97,99,5.55,KZ,2020-02-23 22:39:48
128,Upernavik,72.79,-56.15,-19.39,85,0,4.65,GL,2020-02-23 22:36:52
129,Winnemucca,40.97,-117.74,57.2,22,1,18.34,US,2020-02-23 22:36:57
130,Hasaki,35.73,140.83,37.0,80,20,2.24,JP,2020-02-23 22:33:45
131,Thompson,55.74,-97.86,17.6,67,90,9.17,CA,2020-02-23 22:35:07
132,Kodiak,57.79,-152.41,26.6,35,1,21.92,US,2020-02-23 22:35:45
133,Paamiut,61.99,-49.67,14.5,57,100,2.73,GL,2020-02-23 22:37:06
134,Mao,39.89,4.27,50.0,93,0,3.36,ES,2020-02-23 22:39:50
135,Victoria,22.29,114.16,69.01,72,67,23.04,HK,2020-02-23 22:36:21
136,Maputo,-25.97,32.59,71.01,73,75,17.22,MZ,2020-02-23 22:39:51
